gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020729,BOS,H,2026-01-13,1,0,{'default': 'Bruins'},{'default': 'Red Wings'},1,1,0,0,1,0,5,21,0,0,15:04,DET,0,2025
2025020712,BOS,H,2026-01-11,0,0,{'default': 'Bruins'},{'default': 'Penguins'},0,1,0,0,0,0,0,18,0,0,17:33,PIT,0,2025
2025020697,BOS,H,2026-01-10,3,0,{'default': 'Bruins'},{'default': 'Rangers'},3,1,1,1,1,0,3,22,0,0,15:26,NYR,0,2025
2025020682,BOS,H,2026-01-08,0,1,{'default': 'Bruins'},{'default': 'Flames'},1,1,0,0,0,0,0,18,0,0,15:30,CGY,0,2025
2025020676,BOS,R,2026-01-06,0,1,{'default': 'Bruins'},{'default': 'Kraken'},1,-1,0,0,0,0,1,19,0,0,16:29,SEA,0,2025
2025020656,BOS,R,2026-01-03,0,0,{'default': 'Bruins'},{'default': 'Canucks'},0,0,0,0,0,0,0,24,0,0,18:50,VAN,2,2025
2025020631,BOS,R,2025-12-31,0,0,{'default': 'Bruins'},{'default': 'Oilers'},0,1,0,0,0,0,1,17,0,0,14:46,EDM,0,2025
2025020613,BOS,R,2025-12-29,0,0,{'default': 'Bruins'},{'default': 'Flames'},0,0,0,0,0,0,1,23,0,0,18:30,CGY,0,2025
2025020589,BOS,R,2025-12-27,0,0,{'default': 'Bruins'},{'default': 'Sabres'},0,-1,0,0,0,0,3,18,0,0,19:32,BUF,0,2025
2025020577,BOS,H,2025-12-23,0,0,{'default': 'Bruins'},{'default': 'Canadiens'},0,-2,0,0,0,0,1,17,0,0,15:17,MTL,0,2025
2025020564,BOS,H,2025-12-21,0,1,{'default': 'Bruins'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-2,0,1,0,0,1,20,0,0,18:57,OTT,0,2025
2025020555,BOS,H,2025-12-20,1,0,{'default': 'Bruins'},{'default': 'Canucks'},1,1,0,0,0,0,2,22,0,0,18:35,VAN,0,2025
2025020534,BOS,H,2025-12-18,1,0,{'default': 'Bruins'},{'default': 'Oilers'},1,-1,1,1,0,0,1,18,0,0,15:26,EDM,0,2025
2025020519,BOS,H,2025-12-16,0,1,{'default': 'Bruins'},{'default': 'Mammoth'},1,1,0,0,0,0,1,20,0,0,18:29,UTA,2,2025
2025020511,BOS,R,2025-12-14,0,0,{'default': 'Bruins'},{'default': 'Wild'},0,-1,0,0,0,0,2,19,0,0,14:57,MIN,0,2025
2025020489,BOS,R,2025-12-11,0,0,{'default': 'Bruins'},{'default': 'Jets'},0,0,0,0,0,0,1,20,0,0,15:38,WPG,0,2025
2025020472,BOS,R,2025-12-09,1,0,{'default': 'Bruins'},{'default': 'Blues'},1,1,0,0,0,0,6,19,0,0,15:55,STL,2,2025
2025020443,BOS,H,2025-12-06,0,1,{'default': 'Bruins'},{'default': 'Devils'},1,0,0,0,0,0,0,17,0,0,16:15,NJD,0,2025
2025020426,BOS,H,2025-12-04,2,0,{'default': 'Bruins'},{'default': 'Blues'},2,2,1,1,0,0,3,17,0,0,13:44,STL,0,2025
2025020412,BOS,R,2025-12-02,0,1,{'default': 'Bruins'},{'default': 'Red Wings'},1,0,0,0,0,0,1,19,0,0,16:00,DET,0,2025
2025020394,BOS,H,2025-11-29,0,0,{'default': 'Bruins'},{'default': 'Red Wings'},0,-2,0,0,0,0,1,22,0,0,19:53,DET,0,2025
2025020365,BOS,R,2025-11-26,0,0,{'default': 'Bruins'},{'default': 'Islanders'},0,-1,0,0,0,0,0,19,0,0,16:35,NYI,0,2025
2025020351,BOS,R,2025-11-23,0,0,{'default': 'Bruins'},{'default': 'Sharks'},0,-1,0,0,0,0,2,25,0,0,21:11,SJS,2,2025
2025020334,BOS,R,2025-11-21,0,0,{'default': 'Bruins'},{'default': 'Kings'},0,-1,0,0,0,0,2,23,0,0,20:03,LAK,0,2025
2025020318,BOS,R,2025-11-19,0,1,{'default': 'Bruins'},{'default': 'Ducks'},1,-1,0,1,0,0,2,19,0,0,15:02,ANA,2,2025
2025020301,BOS,H,2025-11-17,0,0,{'default': 'Bruins'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,18,0,0,16:48,CAR,0,2025
2025020285,BOS,R,2025-11-15,0,1,{'default': 'Bruins'},{'default': 'Canadiens'},1,-1,0,1,0,0,2,21,0,0,17:49,MTL,0,2025
2025020271,BOS,R,2025-11-13,0,0,{'default': 'Bruins'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-2,0,0,0,0,2,22,0,0,18:58,OTT,0,2025
2025020256,BOS,H,2025-11-11,1,0,{'default': 'Bruins'},{'default': 'Maple Leafs'},1,-1,1,1,0,0,3,24,0,0,19:16,TOR,0,2025
2025020234,BOS,R,2025-11-08,0,0,{'default': 'Bruins'},{'default': 'Maple Leafs'},0,1,0,0,0,0,1,21,0,0,15:26,TOR,0,2025
2025020218,BOS,H,2025-11-06,1,0,{'default': 'Bruins'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,0,0,1,1,2,26,0,0,18:49,OTT,2,2025
2025020205,BOS,R,2025-11-04,1,0,{'default': 'Bruins'},{'default': 'Islanders'},1,1,1,1,0,0,3,21,0,0,18:36,NYI,0,2025
