gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,opponentAbbrev,toi,season
2025021159,SEA,R,2026-03-28,0,0,{'default': 'Kraken'},{'default': 'Sabres'},0,0,0,0,0,0,0,6,0,0,0,BUF,3:36,2025
2025021139,SEA,R,2026-03-26,0,1,{'default': 'Kraken'},{'default': 'Lightning'},1,1,0,0,0,0,0,17,0,0,0,TBL,10:56,2025
2025021123,SEA,R,2026-03-24,0,0,{'default': 'Kraken'},{'default': 'Panthers'},0,-2,0,0,0,0,1,19,0,0,0,FLA,14:47,2025
2025021104,SEA,R,2026-03-21,0,0,{'default': 'Kraken'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,18,0,0,0,CBJ,13:37,2025
2025021087,SEA,R,2026-03-19,0,0,{'default': 'Kraken'},{'default': 'Predators'},0,0,0,0,0,0,1,22,0,0,0,NSH,15:15,2025
2025021076,SEA,H,2026-03-17,0,0,{'default': 'Kraken'},{'default': 'Lightning'},0,0,0,0,0,0,1,20,0,0,2,TBL,15:51,2025
2025021062,SEA,H,2026-03-15,0,0,{'default': 'Kraken'},{'default': 'Panthers'},0,0,0,0,0,0,0,16,0,0,0,FLA,12:54,2025
2025021055,SEA,R,2026-03-14,0,1,{'default': 'Kraken'},{'default': 'Canucks'},1,0,0,1,0,0,2,18,0,0,0,VAN,12:09,2025
2025021040,SEA,H,2026-03-12,0,0,{'default': 'Kraken'},{'default': 'Avalanche'},0,0,0,0,0,0,0,19,0,0,0,COL,14:28,2025
2025021024,SEA,H,2026-03-10,0,1,{'default': 'Kraken'},{'default': 'Predators'},1,1,0,0,0,0,2,19,0,0,0,NSH,14:26,2025
2025021000,SEA,H,2026-03-07,0,0,{'default': 'Kraken'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,0,21,0,0,0,OTT,15:10,2025
2025020974,SEA,H,2026-03-04,0,0,{'default': 'Kraken'},{'default': 'Blues'},0,0,0,0,0,0,0,18,0,0,0,STL,12:36,2025
2025020957,SEA,H,2026-03-02,0,0,{'default': 'Kraken'},{'default': 'Hurricanes'},0,1,0,0,0,0,0,15,0,0,0,CAR,12:59,2025
2025020946,SEA,H,2026-02-28,0,0,{'default': 'Kraken'},{'default': 'Canucks'},0,0,0,0,0,0,2,18,0,0,0,VAN,15:12,2025
2025020925,SEA,R,2026-02-26,0,1,{'default': 'Kraken'},{'default': 'Blues'},1,1,0,0,0,0,3,21,0,0,0,STL,15:55,2025
2025020913,SEA,R,2026-02-25,0,0,{'default': 'Kraken'},{'default': 'Stars'},0,0,0,0,0,0,0,20,0,0,0,DAL,15:55,2025
2025020902,SEA,R,2026-02-04,2,0,{'default': 'Kraken'},{'default': 'Kings'},2,1,1,1,0,0,2,22,0,0,0,LAK,15:01,2025
2025020892,SEA,R,2026-02-03,0,0,{'default': 'Kraken'},{'default': 'Ducks'},0,1,0,0,0,0,1,23,0,0,0,ANA,16:21,2025
2025020872,SEA,R,2026-01-31,0,0,{'default': 'Kraken'},{'default': 'Golden Knights'},0,1,0,0,0,0,2,16,0,0,0,VGK,13:46,2025
2025020857,SEA,H,2026-01-29,2,0,{'default': 'Kraken'},{'default': 'Maple Leafs'},2,2,0,0,0,0,2,21,0,0,2,TOR,15:41,2025
2025020839,SEA,H,2026-01-27,0,0,{'default': 'Kraken'},{'default': 'Capitals'},0,0,0,0,0,0,0,16,0,0,0,WSH,14:09,2025
2025020820,SEA,H,2026-01-25,0,0,{'default': 'Kraken'},{'default': 'Devils'},0,0,0,0,0,0,0,21,0,0,2,NJD,15:31,2025
2025020809,SEA,H,2026-01-23,0,1,{'default': 'Kraken'},{'default': 'Ducks'},1,1,0,0,0,0,2,22,0,0,0,ANA,15:21,2025
2025020793,SEA,H,2026-01-21,0,0,{'default': 'Kraken'},{'default': 'Islanders'},0,1,0,0,0,0,1,16,0,0,0,NYI,12:14,2025
2025020772,SEA,H,2026-01-19,0,1,{'default': 'Kraken'},{'default': 'Penguins'},1,-1,0,1,0,0,1,17,0,0,0,PIT,9:57,2025
2025020757,SEA,R,2026-01-17,0,0,{'default': 'Kraken'},{'default': 'Mammoth'},0,-2,0,0,0,0,3,21,0,0,0,UTA,14:16,2025
2025020739,SEA,R,2026-01-15,0,0,{'default': 'Kraken'},{'default': 'Bruins'},0,0,0,0,0,0,1,18,0,0,0,BOS,13:25,2025
2025020735,SEA,R,2026-01-14,0,0,{'default': 'Kraken'},{'default': 'Devils'},0,1,0,0,0,0,2,20,0,0,0,NJD,12:19,2025
2025020718,SEA,R,2026-01-12,0,1,{'default': 'Kraken'},{'default': 'Rangers'},1,0,0,0,0,0,2,16,0,0,0,NYR,12:32,2025
2025020706,SEA,R,2026-01-10,0,0,{'default': 'Kraken'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,21,0,0,0,CAR,13:27,2025
2025020693,SEA,H,2026-01-08,0,0,{'default': 'Kraken'},{'default': 'Wild'},0,-1,0,0,0,0,1,18,0,0,0,MIN,11:24,2025
2025020676,SEA,H,2026-01-06,0,0,{'default': 'Kraken'},{'default': 'Bruins'},0,1,0,0,0,0,2,19,0,0,0,BOS,13:36,2025
2025020665,SEA,R,2026-01-05,1,0,{'default': 'Kraken'},{'default': 'Flames'},1,1,0,0,1,0,2,22,0,0,0,CGY,16:46,2025
2025020642,SEA,R,2026-01-02,0,0,{'default': 'Kraken'},{'default': 'Canucks'},0,1,0,0,0,0,1,21,0,0,0,VAN,17:07,2025
2025020638,SEA,H,2026-01-01,0,0,{'default': 'Kraken'},{'default': 'Predators'},0,0,0,0,0,0,1,17,0,0,0,NSH,13:11,2025
2025020616,SEA,H,2025-12-29,0,0,{'default': 'Kraken'},{'default': 'Canucks'},0,-1,0,0,0,0,1,19,0,0,2,VAN,14:10,2025
2025020605,SEA,H,2025-12-28,0,0,{'default': 'Kraken'},{'default': 'Flyers'},0,0,0,0,0,0,1,20,0,0,0,PHI,13:27,2025
2025020587,SEA,R,2025-12-23,0,0,{'default': 'Kraken'},{'default': 'Kings'},0,0,0,0,0,0,3,16,0,0,0,LAK,13:16,2025
2025020573,SEA,R,2025-12-22,0,1,{'default': 'Kraken'},{'default': 'Ducks'},1,-1,0,1,0,0,1,17,0,0,0,ANA,11:38,2025
2025020561,SEA,R,2025-12-20,0,0,{'default': 'Kraken'},{'default': 'Sharks'},0,1,0,0,0,0,4,16,0,0,0,SJS,12:43,2025
2025020542,SEA,R,2025-12-18,0,0,{'default': 'Kraken'},{'default': 'Flames'},0,-1,0,0,0,0,1,17,0,0,0,CGY,13:04,2025
2025020528,SEA,H,2025-12-16,1,0,{'default': 'Kraken'},{'default': 'Avalanche'},1,1,0,0,0,0,3,20,0,0,0,COL,13:37,2025
2025020513,SEA,H,2025-12-14,0,0,{'default': 'Kraken'},{'default': 'Sabres'},0,0,0,0,0,0,2,20,0,0,0,BUF,15:15,2025
2025020494,SEA,R,2025-12-12,0,0,{'default': 'Kraken'},{'default': 'Mammoth'},0,1,0,0,0,0,2,21,0,0,0,UTA,13:49,2025
2025020479,SEA,H,2025-12-10,0,0,{'default': 'Kraken'},{'default': 'Kings'},0,-1,0,0,0,0,2,18,0,0,0,LAK,13:39,2025
2025020465,SEA,H,2025-12-08,0,0,{'default': 'Kraken'},{'default': 'Wild'},0,-1,0,0,0,0,3,19,0,0,0,MIN,15:58,2025
2025020452,SEA,H,2025-12-06,0,0,{'default': 'Kraken'},{'default': 'Red Wings'},0,0,0,0,0,0,0,17,0,0,0,DET,11:24,2025
2025020434,SEA,R,2025-12-04,0,1,{'default': 'Kraken'},{'default': 'Oilers'},1,0,0,0,0,0,3,21,0,0,0,EDM,13:52,2025
2025020393,SEA,H,2025-11-29,0,0,{'default': 'Kraken'},{'default': 'Oilers'},0,0,0,0,0,0,0,17,0,0,0,EDM,14:11,2025
2025020375,SEA,H,2025-11-26,0,1,{'default': 'Kraken'},{'default': 'Stars'},1,-1,0,0,0,0,1,18,0,0,0,DAL,14:31,2025
2025020349,SEA,R,2025-11-23,0,0,{'default': 'Kraken'},{'default': 'Islanders'},0,0,0,0,0,0,0,20,0,0,0,NYI,12:51,2025
2025020340,SEA,R,2025-11-22,0,0,{'default': 'Kraken'},{'default': 'Penguins'},0,-1,0,0,0,0,1,15,0,0,0,PIT,12:40,2025
2025020325,SEA,R,2025-11-20,1,0,{'default': 'Kraken'},{'default': 'Blackhawks'},1,1,0,0,0,0,3,18,0,0,0,CHI,13:31,2025
2025020308,SEA,R,2025-11-18,0,1,{'default': 'Kraken'},{'default': 'Red Wings'},1,-1,0,0,0,0,1,18,0,0,0,DET,13:26,2025
2025020295,SEA,H,2025-11-15,0,0,{'default': 'Kraken'},{'default': 'Sharks'},0,0,0,0,0,0,0,14,0,0,0,SJS,9:21,2025
2025020278,SEA,H,2025-11-13,0,0,{'default': 'Kraken'},{'default': 'Jets'},0,0,0,0,0,0,1,20,0,0,0,WPG,14:37,2025
2025020264,SEA,H,2025-11-11,0,0,{'default': 'Kraken'},{'default': 'Blue Jackets'},0,0,0,0,0,0,3,15,0,0,0,CBJ,12:34,2025
2025020248,SEA,R,2025-11-09,0,0,{'default': 'Kraken'},{'default': 'Stars'},0,-1,0,0,0,0,0,17,0,0,0,DAL,11:48,2025
2025020239,SEA,R,2025-11-08,1,0,{'default': 'Kraken'},{'default': 'Blues'},1,1,0,0,1,1,2,20,0,0,0,STL,12:41,2025
2025020217,SEA,H,2025-11-05,0,1,{'default': 'Kraken'},{'default': 'Sharks'},1,0,0,0,0,0,2,22,0,0,0,SJS,16:39,2025
2025020202,SEA,H,2025-11-03,0,0,{'default': 'Kraken'},{'default': 'Blackhawks'},0,0,0,0,0,0,1,19,0,0,0,CHI,12:58,2025
2025020193,SEA,H,2025-11-01,0,0,{'default': 'Kraken'},{'default': 'Rangers'},0,0,0,0,0,0,1,22,0,0,2,NYR,15:32,2025
