gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025020895,MTL,R,2026-02-04,1,0,{'default': 'Canadiens'},{'default': 'Jets'},1,2,0,0,0,0,3,17,1,1,15:18,0,WPG,2025
2025020879,MTL,R,2026-02-02,0,1,{'default': 'Canadiens'},{'default': 'Wild'},1,1,0,0,0,0,2,23,0,0,16:26,2,MIN,2025
2025020865,MTL,R,2026-01-31,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,0,0,0,0,0,1,22,0,0,18:13,0,BUF,2025
2025020845,MTL,H,2026-01-29,0,0,{'default': 'Canadiens'},{'default': 'Avalanche'},0,-2,0,0,0,0,0,19,0,0,14:50,0,COL,2025
2025020832,MTL,H,2026-01-27,1,0,{'default': 'Canadiens'},{'default': 'Golden Knights'},1,0,0,0,0,0,3,20,0,0,15:12,0,VGK,2025
2025020812,MTL,R,2026-01-24,0,0,{'default': 'Canadiens'},{'default': 'Bruins'},0,-1,0,0,0,0,1,23,0,0,16:11,0,BOS,2025
2025020795,MTL,H,2026-01-22,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,-1,0,0,0,0,1,20,0,0,13:20,0,BUF,2025
2025020780,MTL,H,2026-01-20,1,0,{'default': 'Canadiens'},{'default': 'Wild'},1,3,0,0,0,0,1,19,0,0,14:53,2,MIN,2025
2025020758,MTL,R,2026-01-17,0,1,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,2,0,0,0,0,0,19,0,0,10:59,2,OTT,2025
2025020740,MTL,R,2026-01-15,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,-2,0,0,0,0,0,20,0,0,14:58,2,BUF,2025
2025020727,MTL,R,2026-01-13,0,1,{'default': 'Canadiens'},{'default': 'Capitals'},1,0,0,0,0,0,3,23,0,0,16:28,0,WSH,2025
2025020720,MTL,H,2026-01-12,0,0,{'default': 'Canadiens'},{'default': 'Canucks'},0,-2,0,0,0,0,6,19,0,0,16:34,0,VAN,2025
2025020703,MTL,H,2026-01-10,0,0,{'default': 'Canadiens'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,19,0,0,16:03,0,DET,2025
2025020683,MTL,H,2026-01-08,0,0,{'default': 'Canadiens'},{'default': 'Panthers'},0,-1,0,0,0,0,0,24,0,0,18:40,2,FLA,2025
2025020678,MTL,H,2026-01-07,0,1,{'default': 'Canadiens'},{'default': 'Flames'},1,1,0,0,0,0,3,25,0,0,18:22,2,CGY,2025
2025020657,MTL,R,2026-01-04,0,2,{'default': 'Canadiens'},{'default': 'Stars'},2,1,0,0,0,0,2,26,0,0,16:40,2,DAL,2025
2025020648,MTL,R,2026-01-03,0,0,{'default': 'Canadiens'},{'default': 'Blues'},0,-1,0,0,0,0,2,23,0,0,15:22,0,STL,2025
2025020636,MTL,R,2026-01-01,0,0,{'default': 'Canadiens'},{'default': 'Hurricanes'},0,0,0,0,0,0,1,23,0,0,15:45,0,CAR,2025
2025020618,MTL,R,2025-12-30,0,0,{'default': 'Canadiens'},{'default': 'Panthers'},0,-1,0,0,0,0,0,21,0,0,17:04,0,FLA,2025
2025020602,MTL,R,2025-12-28,0,0,{'default': 'Canadiens'},{'default': 'Lightning'},0,-1,0,0,0,0,1,25,0,0,16:52,0,TBL,2025
2025020577,MTL,R,2025-12-23,0,0,{'default': 'Canadiens'},{'default': 'Bruins'},0,0,0,0,0,0,1,24,0,0,15:29,0,BOS,2025
2025020479,LAK,R,2025-12-10,0,0,{'default': 'Kings'},{'default': 'Kraken'},0,0,0,0,0,0,0,17,0,0,13:40,0,SEA,2025
2025020462,LAK,R,2025-12-08,0,0,{'default': 'Kings'},{'default': 'Mammoth'},0,-1,0,0,0,0,0,18,0,0,15:33,0,UTA,2025
2025020449,LAK,H,2025-12-06,0,1,{'default': 'Kings'},{'default': 'Blackhawks'},1,3,0,0,0,0,0,21,0,0,16:28,0,CHI,2025
2025020435,LAK,H,2025-12-04,0,0,{'default': 'Kings'},{'default': 'Blackhawks'},0,0,0,0,0,0,3,19,0,0,17:35,0,CHI,2025
2025020420,LAK,H,2025-12-02,0,0,{'default': 'Kings'},{'default': 'Capitals'},0,0,0,0,0,0,1,16,0,0,12:58,0,WSH,2025
2025020401,LAK,H,2025-11-29,0,0,{'default': 'Kings'},{'default': 'Canucks'},0,-1,0,0,0,0,1,17,0,0,15:39,0,VAN,2025
2025020384,LAK,R,2025-11-28,0,0,{'default': 'Kings'},{'default': 'Ducks'},0,0,0,0,0,0,1,13,0,0,10:27,0,ANA,2025
