gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020938,COL,H,2026-02-28,0,0,{'default': 'Avalanche'},{'default': 'Blackhawks'},0,0,0,0,0,0,2,20,0,0,CHI,0,16:57,2025
2025020927,COL,H,2026-02-26,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,0,0,0,0,0,1,21,0,0,MIN,0,16:33,2025
2025020914,COL,R,2026-02-25,0,0,{'default': 'Avalanche'},{'default': 'Mammoth'},0,1,0,0,0,0,0,23,0,0,UTA,0,19:03,2025
2025020903,PIT,R,2026-02-05,0,0,{'default': 'Penguins'},{'default': 'Sabres'},0,0,0,0,0,0,0,25,0,0,BUF,0,18:44,2025
2025020888,PIT,R,2026-02-03,0,1,{'default': 'Penguins'},{'default': 'Islanders'},1,-2,0,0,0,0,0,22,0,0,NYI,0,20:23,2025
2025020877,PIT,H,2026-02-02,0,0,{'default': 'Penguins'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,21,0,0,OTT,0,22:01,2025
2025020861,PIT,H,2026-01-31,0,1,{'default': 'Penguins'},{'default': 'Rangers'},1,1,0,0,0,0,3,21,0,0,NYR,0,17:08,2025
2025020850,PIT,H,2026-01-29,0,0,{'default': 'Penguins'},{'default': 'Blackhawks'},0,-1,0,0,0,0,1,21,0,0,CHI,0,19:56,2025
2025020822,PIT,R,2026-01-25,0,1,{'default': 'Penguins'},{'default': 'Canucks'},1,0,0,0,0,0,1,23,0,0,VAN,0,24:04,2025
2025020800,PIT,R,2026-01-22,0,1,{'default': 'Penguins'},{'default': 'Oilers'},1,2,0,0,0,0,1,20,0,0,EDM,0,21:15,2025
2025020791,PIT,R,2026-01-21,0,0,{'default': 'Penguins'},{'default': 'Flames'},0,0,0,0,0,0,0,23,0,0,CGY,0,21:39,2025
2025020772,PIT,R,2026-01-19,1,0,{'default': 'Penguins'},{'default': 'Kraken'},1,3,0,0,0,0,2,21,0,0,SEA,4,20:27,2025
2025020760,PIT,H,2026-01-17,0,0,{'default': 'Penguins'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,2,26,0,0,CBJ,2,21:54,2025
2025020741,PIT,H,2026-01-15,0,0,{'default': 'Penguins'},{'default': 'Flyers'},0,0,0,0,0,0,2,22,0,0,PHI,0,20:39,2025
2025020726,PIT,H,2026-01-13,0,0,{'default': 'Penguins'},{'default': 'Lightning'},0,-1,0,0,0,0,1,25,0,0,TBL,0,25:56,2025
2025020712,PIT,R,2026-01-11,0,0,{'default': 'Penguins'},{'default': 'Bruins'},0,0,0,0,0,0,3,23,0,0,BOS,4,20:26,2025
2025020698,PIT,H,2026-01-10,0,0,{'default': 'Penguins'},{'default': 'Flames'},0,-1,0,0,0,0,1,20,0,0,CGY,2,18:57,2025
2025020687,PIT,H,2026-01-08,0,0,{'default': 'Penguins'},{'default': 'Devils'},0,2,0,0,0,0,2,22,0,0,NJD,0,20:42,2025
