gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020565,BUF,R,2025-12-21,0,0,{'default': 'Sabres'},{'default': 'Devils'},0,0,0,0,0,0,1,15,0,0,10:44,NJD,0,2025
2025020492,BUF,R,2025-12-11,0,0,{'default': 'Sabres'},{'default': 'Canucks'},0,0,0,0,0,0,0,12,0,0,8:42,VAN,0,2025
2025020474,BUF,R,2025-12-09,0,0,{'default': 'Sabres'},{'default': 'Oilers'},0,-1,0,0,0,0,1,15,0,0,9:05,EDM,0,2025
2025020331,BUF,H,2025-11-21,0,1,{'default': 'Sabres'},{'default': 'Blackhawks'},1,1,0,0,0,0,0,16,0,0,11:28,CHI,0,2025
2025020316,BUF,H,2025-11-19,0,0,{'default': 'Sabres'},{'default': 'Flames'},0,-2,0,0,0,0,0,20,0,0,14:17,CGY,0,2025
2025020302,BUF,H,2025-11-17,0,1,{'default': 'Sabres'},{'default': 'Oilers'},1,0,0,1,0,0,1,21,0,0,14:52,EDM,0,2025
2025020287,BUF,R,2025-11-15,0,0,{'default': 'Sabres'},{'default': 'Red Wings'},0,0,0,0,0,0,1,18,0,0,14:32,DET,0,2025
2025020275,BUF,R,2025-11-13,0,1,{'default': 'Sabres'},{'default': 'Avalanche'},1,-2,0,1,0,0,2,23,0,0,17:33,COL,0,2025
2025020267,BUF,R,2025-11-12,2,0,{'default': 'Sabres'},{'default': 'Mammoth'},2,2,0,0,0,0,2,22,0,0,15:56,UTA,0,2025
2025020238,BUF,R,2025-11-08,0,0,{'default': 'Sabres'},{'default': 'Hurricanes'},0,-1,0,0,0,0,0,20,0,0,13:54,CAR,0,2025
2025020219,BUF,H,2025-11-06,0,0,{'default': 'Sabres'},{'default': 'Blues'},0,-1,0,0,0,0,3,22,0,0,17:10,STL,0,2025
2025020203,BUF,H,2025-11-04,0,1,{'default': 'Sabres'},{'default': 'Mammoth'},1,1,0,0,0,0,0,21,0,0,16:00,UTA,0,2025
2025020186,BUF,H,2025-11-01,1,0,{'default': 'Sabres'},{'default': 'Capitals'},1,0,0,0,0,0,3,17,0,0,14:44,WSH,0,2025
2024021307,BUF,H,2025-04-17,0,0,{'default': 'Sabres'},{'default': 'Flyers'},0,0,0,0,0,0,1,12,0,0,8:03,PHI,0,2024
2024021292,BUF,H,2025-04-15,0,0,{'default': 'Sabres'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,1,13,0,0,7:00,TOR,0,2024
2024021159,BUF,R,2025-03-29,0,0,{'default': 'Sabres'},{'default': 'Flyers'},0,-1,0,0,0,0,2,18,0,0,11:07,PHI,0,2024
2024021143,BUF,H,2025-03-27,0,1,{'default': 'Sabres'},{'default': 'Penguins'},1,1,0,0,0,0,2,19,0,0,11:25,PIT,0,2024
2024021129,BUF,H,2025-03-25,0,0,{'default': 'Sabres'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,0,13,0,0,8:26,OTT,0,2024
2024021006,BUF,R,2025-03-08,0,0,{'default': 'Sabres'},{'default': 'Panthers'},0,-1,0,0,0,0,1,19,0,0,12:51,FLA,0,2024
2024020846,BUF,H,2025-02-04,0,0,{'default': 'Sabres'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,1,17,0,0,11:46,CBJ,0,2024
2024020331,BUF,R,2024-11-23,0,0,{'default': 'Sabres'},{'default': 'Sharks'},0,0,0,0,0,0,0,10,0,0,6:29,SJS,0,2024
2023020411,BUF,H,2023-12-09,0,0,{'default': 'Sabres'},{'default': 'Canadiens'},0,0,0,0,0,0,0,6,0,0,4:12,MTL,0,2023
2023020392,BUF,R,2023-12-07,0,0,{'default': 'Sabres'},{'default': 'Bruins'},0,0,0,0,0,0,0,11,0,0,9:40,BOS,0,2023
2023020380,BUF,H,2023-12-05,0,0,{'default': 'Sabres'},{'default': 'Red Wings'},0,0,0,0,0,0,5,12,0,0,7:54,DET,0,2023
2023020372,BUF,H,2023-12-03,0,0,{'default': 'Sabres'},{'default': 'Predators'},0,0,0,0,0,0,1,12,0,0,10:19,NSH,0,2023
2023020348,BUF,R,2023-11-30,0,0,{'default': 'Sabres'},{'default': 'Blues'},0,-1,0,0,0,0,2,12,0,0,8:47,STL,0,2023
2023020322,BUF,R,2023-11-27,0,0,{'default': 'Sabres'},{'default': 'Rangers'},0,0,0,0,0,0,0,8,0,0,6:14,NYR,0,2023
2023020310,BUF,R,2023-11-25,0,0,{'default': 'Sabres'},{'default': 'Devils'},0,-2,0,0,0,0,0,17,0,0,13:00,NJD,0,2023
