gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020928,SJS,H,2026-02-26,0,1,{'default': 'Sharks'},{'default': 'Flames'},1,-1,0,0,0,0,0,19,0,0,CGY,13:59,0,2025
2025020897,SJS,R,2026-02-04,0,0,{'default': 'Sharks'},{'default': 'Avalanche'},0,-2,0,0,0,0,0,17,0,0,COL,11:30,0,2025
2025020881,SJS,R,2026-02-02,0,0,{'default': 'Sharks'},{'default': 'Blackhawks'},0,1,0,0,0,0,1,17,0,0,CHI,11:31,2,2025
2025020863,SJS,R,2026-01-31,0,1,{'default': 'Sharks'},{'default': 'Flames'},1,0,0,0,0,0,1,16,0,0,CGY,10:02,0,2025
2025020854,SJS,R,2026-01-29,1,0,{'default': 'Sharks'},{'default': 'Oilers'},1,1,0,0,0,0,1,16,0,0,EDM,12:51,0,2025
2025020838,SJS,R,2026-01-27,0,0,{'default': 'Sharks'},{'default': 'Canucks'},0,0,0,0,0,0,2,18,0,0,VAN,14:17,0,2025
2025020808,SJS,H,2026-01-23,0,1,{'default': 'Sharks'},{'default': 'Rangers'},1,0,0,1,0,0,1,15,0,0,NYR,12:28,0,2025
2025020781,SJS,R,2026-01-20,0,0,{'default': 'Sharks'},{'default': 'Lightning'},0,-1,0,0,0,0,0,15,0,0,TBL,12:36,0,2025
2025020773,SJS,R,2026-01-19,0,2,{'default': 'Sharks'},{'default': 'Panthers'},2,2,0,0,0,0,3,14,0,0,FLA,11:17,0,2025
2025020749,SJS,R,2026-01-16,0,0,{'default': 'Sharks'},{'default': 'Red Wings'},0,0,0,0,0,0,0,15,0,0,DET,12:25,0,2025
2025020742,SJS,R,2026-01-15,0,0,{'default': 'Sharks'},{'default': 'Capitals'},0,0,0,0,0,0,1,14,0,0,WSH,9:58,0,2025
2025020715,SJS,H,2026-01-11,0,0,{'default': 'Sharks'},{'default': 'Golden Knights'},0,1,0,0,0,0,0,15,0,0,VGK,11:43,0,2025
2025020184,SJS,H,2025-11-01,0,0,{'default': 'Sharks'},{'default': 'Avalanche'},0,-1,0,0,0,0,1,15,0,0,COL,10:11,0,2025
2025020165,SJS,H,2025-10-28,0,0,{'default': 'Sharks'},{'default': 'Kings'},0,0,0,0,0,0,8,14,0,0,LAK,10:10,0,2025
2025020142,SJS,R,2025-10-26,1,0,{'default': 'Sharks'},{'default': 'Wild'},1,1,0,0,0,0,1,13,0,0,MIN,11:02,2,2025
2025020116,SJS,R,2025-10-23,0,1,{'default': 'Sharks'},{'default': 'Rangers'},1,1,0,0,0,0,0,13,0,0,NYR,10:03,0,2025
2025020100,SJS,R,2025-10-21,0,1,{'default': 'Sharks'},{'default': 'Islanders'},1,1,0,0,0,0,1,18,0,0,NYI,12:42,0,2025
2025020088,SJS,H,2025-10-18,0,0,{'default': 'Sharks'},{'default': 'Penguins'},0,-1,0,0,0,0,2,15,0,0,PIT,12:56,0,2025
2025020055,SJS,H,2025-10-14,0,0,{'default': 'Sharks'},{'default': 'Hurricanes'},0,-2,0,0,0,0,0,18,0,0,CAR,15:06,0,2025
