gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020752,COL,H,2026-01-16,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,0,0,0,0,0,0,12,0,0,10:24,NSH,2,2025
2025020723,COL,H,2026-01-12,0,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},0,0,0,0,0,0,0,7,0,0,4:34,TOR,0,2025
2025020699,COL,H,2026-01-10,0,1,{'default': 'Avalanche'},{'default': 'Blue Jackets'},1,1,0,0,0,0,0,13,0,0,9:54,CBJ,0,2025
2025020691,COL,H,2026-01-08,0,1,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,0,16,0,0,11:43,OTT,0,2025
2025020668,COL,R,2026-01-06,0,1,{'default': 'Avalanche'},{'default': 'Lightning'},1,2,0,0,0,0,1,11,0,0,7:23,TBL,2,2025
2025020659,COL,R,2026-01-04,0,0,{'default': 'Avalanche'},{'default': 'Panthers'},0,0,0,0,0,0,0,10,0,0,6:40,FLA,0,2025
2025020653,COL,R,2026-01-03,0,0,{'default': 'Avalanche'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,9,0,0,6:54,CAR,2,2025
2025020629,COL,H,2025-12-31,0,0,{'default': 'Avalanche'},{'default': 'Blues'},0,0,0,0,0,0,2,15,0,0,13:27,STL,2,2025
2025020475,COL,R,2025-12-09,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,0,0,0,0,0,1,8,0,0,5:08,NSH,0,2025
2025020453,COL,R,2025-12-07,0,0,{'default': 'Avalanche'},{'default': 'Flyers'},0,0,0,0,0,0,0,8,0,0,4:45,PHI,0,2025
2025020441,COL,R,2025-12-06,0,0,{'default': 'Avalanche'},{'default': 'Rangers'},0,0,0,0,0,0,1,8,0,0,6:26,NYR,0,2025
2025020430,COL,R,2025-12-04,0,0,{'default': 'Avalanche'},{'default': 'Islanders'},0,-1,0,0,0,0,0,7,0,0,4:34,NYI,0,2025
2025020417,COL,H,2025-12-02,0,0,{'default': 'Avalanche'},{'default': 'Canucks'},0,-1,0,0,0,0,2,12,0,0,8:37,VAN,0,2025
2025020392,COL,H,2025-11-29,0,0,{'default': 'Avalanche'},{'default': 'Canadiens'},0,0,0,0,0,0,1,17,0,0,13:02,MTL,0,2025
2025020378,COL,R,2025-11-28,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,0,0,0,0,0,0,11,0,0,7:05,MIN,0,2025
2025020371,COL,H,2025-11-26,0,1,{'default': 'Avalanche'},{'default': 'Sharks'},1,1,0,0,0,0,0,15,0,0,12:08,SJS,0,2025
2025020350,COL,R,2025-11-23,0,0,{'default': 'Avalanche'},{'default': 'Blackhawks'},0,1,0,0,0,0,0,12,0,0,6:34,CHI,0,2025
2025020343,COL,R,2025-11-22,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,0,0,0,0,0,1,11,0,0,8:05,NSH,0,2025
2025020326,COL,H,2025-11-20,0,0,{'default': 'Avalanche'},{'default': 'Rangers'},0,0,0,0,0,0,0,10,0,0,6:07,NYR,0,2025
2025020300,COL,H,2025-11-16,0,0,{'default': 'Avalanche'},{'default': 'Islanders'},0,0,0,0,0,0,0,11,0,0,6:00,NYI,0,2025
2025020275,COL,H,2025-11-13,0,0,{'default': 'Avalanche'},{'default': 'Sabres'},0,0,0,0,0,0,1,12,0,0,8:52,BUF,0,2025
2025020262,COL,H,2025-11-11,0,0,{'default': 'Avalanche'},{'default': 'Ducks'},0,0,0,0,0,0,2,10,0,0,6:42,ANA,0,2025
2025020250,COL,R,2025-11-09,0,0,{'default': 'Avalanche'},{'default': 'Canucks'},0,0,0,0,0,0,0,10,0,0,6:30,VAN,0,2025
2025020240,COL,R,2025-11-08,0,2,{'default': 'Avalanche'},{'default': 'Oilers'},2,2,0,0,0,0,1,10,0,0,6:36,EDM,0,2025
2025020209,COL,H,2025-11-04,0,0,{'default': 'Avalanche'},{'default': 'Lightning'},0,0,0,0,0,0,0,7,0,0,5:33,TBL,0,2025
2025020184,COL,R,2025-11-01,0,0,{'default': 'Avalanche'},{'default': 'Sharks'},0,0,0,0,0,0,1,8,0,0,6:59,SJS,0,2025
2025020178,COL,R,2025-10-31,0,0,{'default': 'Avalanche'},{'default': 'Golden Knights'},0,0,0,0,0,0,0,6,0,0,3:54,VGK,0,2025
2025020161,COL,H,2025-10-28,1,0,{'default': 'Avalanche'},{'default': 'Devils'},1,2,0,0,0,0,2,14,0,0,8:38,NJD,0,2025
2025020140,COL,R,2025-10-26,0,0,{'default': 'Avalanche'},{'default': 'Devils'},0,0,0,0,0,0,0,10,0,0,6:54,NJD,0,2025
2025020128,COL,R,2025-10-25,0,0,{'default': 'Avalanche'},{'default': 'Bruins'},0,0,0,0,0,0,0,9,0,0,4:33,BOS,0,2025
2025020121,COL,H,2025-10-23,0,0,{'default': 'Avalanche'},{'default': 'Hurricanes'},0,0,0,0,0,0,2,6,0,0,4:24,CAR,0,2025
2025020107,COL,R,2025-10-21,0,1,{'default': 'Avalanche'},{'default': 'Mammoth'},1,0,0,0,0,0,0,9,0,0,5:57,UTA,0,2025
2025020085,COL,H,2025-10-18,0,0,{'default': 'Avalanche'},{'default': 'Bruins'},0,-1,0,0,0,0,1,12,0,0,8:11,BOS,0,2025
